event_id,crop_path,start_s,end_s,dur_s,event_score,label,reason,why,max_clip,ratio_ge_clip_thr,num_clips,top_clips
event_001,C:\Users\hdgn5\OneDrive\Masaüstü\figth\outputs\events\sample_2\event_001\crop.avi,0.0,0.0,0.0,0.002617,non_fight,score_low,score(0.003) < thr_borderline(0.45),0.002617,0.0,1,"[{""clip_index"": 0, ""fight_prob"": 0.00261688232421875}]"
event_002,C:\Users\hdgn5\OneDrive\Masaüstü\figth\outputs\events\sample_2\event_002\crop.avi,0.0,0.0,0.0,0.383005,non_fight,score_low,score(0.383) < thr_borderline(0.45),0.813965,0.4,5,"[{""clip_index"": 3, ""fight_prob"": 0.81396484375}, {""clip_index"": 4, ""fight_prob"": 0.59619140625}, {""clip_index"": 2, ""fight_prob"": 0.4365234375}]"
event_003,C:\Users\hdgn5\OneDrive\Masaüstü\figth\outputs\events\sample_2\event_003\crop.avi,0.0,0.0,0.0,0.537231,fight,borderline_with_evidence,borderline score(0.537) >= thr_borderline(0.45) AND (max_clip(0.715) >= 0.70 OR ratio(0.50) >= 0.25),0.714844,0.5,2,"[{""clip_index"": 1, ""fight_prob"": 0.71484375}, {""clip_index"": 0, ""fight_prob"": 0.359619140625}]"
event_004,C:\Users\hdgn5\OneDrive\Masaüstü\figth\outputs\events\sample_2\event_004\crop.avi,0.0,0.0,0.0,0.156738,non_fight,score_low,score(0.157) < thr_borderline(0.45),0.16333,0.0,2,"[{""clip_index"": 1, ""fight_prob"": 0.163330078125}, {""clip_index"": 0, ""fight_prob"": 0.150146484375}]"
